run_id,topic_id,topic_title,phase,status,run_state,created_at,updated_at
20260509_105718_mlf_007,mlf_007,Data leakage,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260509_105718_mlf_007"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_007"",""artifacts"":{""answers"":""runs/20260509_105718_mlf_007/answers.json"",""rewards"":""runs/20260509_105718_mlf_007/rewards.json"",""assessment"":""runs/20260509_105718_mlf_007/assessment.json"",""evaluation"":""runs/20260509_105718_mlf_007/evaluation.json"",""concept_note"":""runs/20260509_105718_mlf_007/concept_note.json"",""refined_note"":""notes/refined/mlf_007_refined.md"",""architect_note"":""runs/20260509_105718_mlf_007/architect_note.json"",""answer_coaching"":""runs/20260509_105718_mlf_007/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Data leakage"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_006""]}",2026-05-09 10:58:23.701146+00,2026-05-09 12:42:31.276885+00
20260509_124418_mlf_008,mlf_008,Bias vs variance,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260509_124418_mlf_008"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_008"",""artifacts"":{""answers"":""runs/20260509_124418_mlf_008/answers.json"",""rewards"":""runs/20260509_124418_mlf_008/rewards.json"",""assessment"":""runs/20260509_124418_mlf_008/assessment.json"",""evaluation"":""runs/20260509_124418_mlf_008/evaluation.json"",""concept_note"":""runs/20260509_124418_mlf_008/concept_note.json"",""refined_note"":""notes/refined/mlf_008_refined.md"",""architect_note"":""runs/20260509_124418_mlf_008/architect_note.json"",""answer_coaching"":""runs/20260509_124418_mlf_008/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Bias vs variance"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_007""]}",2026-05-09 12:44:57.747969+00,2026-05-09 14:32:41.756146+00
20260509_150436_mlf_009,mlf_009,Why accuracy can lie,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260509_150436_mlf_009"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""mlf_009"",""artifacts"":{""answers"":""assessments/answers/20260509_150436_mlf_009_answers.json"",""assessment"":""runs/20260509_150436_mlf_009/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260509_150436_mlf_009/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260509_150436_mlf_009/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":""runs/20260509_150436_mlf_009/practice_exercise.json"",""practice_submission"":""assessments/answers/20260509_150436_mlf_009_practice_submission.json""},""topic_name"":""Why accuracy can lie"",""next_action"":""await_user_answers"",""prerequisites"":[""mlf_008""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-09 15:05:08.794741+00,2026-06-14 14:35:21.520592+00
20260510_081818_mlf_009,mlf_009,Why accuracy can lie,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260510_081818_mlf_009"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_009"",""artifacts"":{""answers"":""runs/20260510_081818_mlf_009/answers.json"",""rewards"":""runs/20260510_081818_mlf_009/rewards.json"",""assessment"":""runs/20260510_081818_mlf_009/assessment.json"",""evaluation"":""runs/20260510_081818_mlf_009/evaluation.json"",""concept_note"":""runs/20260510_081818_mlf_009/concept_note.json"",""refined_note"":""notes/refined/mlf_009_refined.md"",""architect_note"":""runs/20260510_081818_mlf_009/architect_note.json"",""answer_coaching"":""runs/20260510_081818_mlf_009/answer_coaching.json"",""practice_result"":""runs/20260510_081818_mlf_009/practice_result.json"",""practice_coaching"":""runs/20260510_081818_mlf_009/practice_coaching.json"",""practice_exercise"":""runs/20260510_081818_mlf_009/practice_exercise.json"",""practice_submission"":""assessments/answers/20260510_081818_mlf_009_practice_submission.json""},""topic_name"":""Why accuracy can lie"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_008""]}",2026-05-10 08:19:11.752292+00,2026-05-10 09:40:12.994414+00
20260510_124047_mlf_010,mlf_010,Precision vs recall,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260510_124047_mlf_010"",""scores"":{""communication"":3,""conceptual_clarity"":2,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_010"",""artifacts"":{""answers"":""runs/20260510_124047_mlf_010/answers.json"",""rewards"":""runs/20260510_124047_mlf_010/rewards.json"",""assessment"":""runs/20260510_124047_mlf_010/assessment.json"",""evaluation"":""runs/20260510_124047_mlf_010/evaluation.json"",""concept_note"":""runs/20260510_124047_mlf_010/concept_note.json"",""refined_note"":""notes/refined/mlf_010_refined.md"",""architect_note"":""runs/20260510_124047_mlf_010/architect_note.json"",""answer_coaching"":""runs/20260510_124047_mlf_010/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Precision vs recall"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_009""]}",2026-05-10 12:41:46.350789+00,2026-05-10 16:38:19.866621+00
20260510_182455_mlf_001,mlf_001,What machine learning is actually learning,abandoned_stale_run,abandoned,"{""phase"":""abandoned_stale_run"",""run_id"":""20260510_182455_mlf_001"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""abandoned"",""topic_id"":""mlf_001"",""artifacts"":{""answers"":""assessments/answers/20260510_182455_mlf_001_answers.json"",""assessment"":""runs/20260510_182455_mlf_001/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260510_182455_mlf_001/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260510_182455_mlf_001/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""What machine learning is actually learning"",""next_action"":""ignored_stale_completed_topic_run"",""prerequisites"":[],""abandoned_reason"":""Local awaiting run was for a topic already completed in durable progress. It was abandoned automatically so the next unlocked curriculum item can start.""}",2026-05-10 18:25:30.799527+00,2026-05-10 18:56:55.087511+00
20260510_185656_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,Checkpoint 1: ML Foundations Review,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260510_185656_checkpoint_ml_foundations_001"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""checkpoint_ml_foundations_001"",""artifacts"":{""answers"":""assessments/answers/20260510_185656_checkpoint_ml_foundations_001_answers.json"",""assessment"":""runs/20260510_185656_checkpoint_ml_foundations_001/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260510_185656_checkpoint_ml_foundations_001/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260510_185656_checkpoint_ml_foundations_001/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":""runs/20260510_185656_checkpoint_ml_foundations_001/practice_exercise.json"",""practice_submission"":""assessments/answers/20260510_185656_checkpoint_ml_foundations_001_practice_submission.json""},""topic_name"":""Checkpoint 1: ML Foundations Review"",""next_action"":""await_user_answers"",""prerequisites"":[""mlf_010""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-10 18:56:56.444521+00,2026-06-14 14:35:21.520592+00
20260511_165301_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,Checkpoint 1: ML Foundations Review,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260511_165301_checkpoint_ml_foundations_001"",""scores"":{""communication"":2,""conceptual_clarity"":2,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""topic_id"":""checkpoint_ml_foundations_001"",""artifacts"":{""answers"":""runs/20260511_165301_checkpoint_ml_foundations_001/answers.json"",""rewards"":""runs/20260511_165301_checkpoint_ml_foundations_001/rewards.json"",""assessment"":""runs/20260511_165301_checkpoint_ml_foundations_001/assessment.json"",""evaluation"":""runs/20260511_165301_checkpoint_ml_foundations_001/evaluation.json"",""concept_note"":""runs/20260511_165301_checkpoint_ml_foundations_001/concept_note.json"",""refined_note"":""notes/refined/checkpoint_ml_foundations_001_refined.md"",""architect_note"":""runs/20260511_165301_checkpoint_ml_foundations_001/architect_note.json"",""answer_coaching"":""runs/20260511_165301_checkpoint_ml_foundations_001/answer_coaching.json"",""practice_result"":""runs/20260511_165301_checkpoint_ml_foundations_001/practice_result.json"",""practice_coaching"":""runs/20260511_165301_checkpoint_ml_foundations_001/practice_coaching.json"",""practice_exercise"":""runs/20260511_165301_checkpoint_ml_foundations_001/practice_exercise.json"",""practice_submission"":""assessments/answers/20260511_165301_checkpoint_ml_foundations_001_practice_submission.json""},""topic_name"":""Checkpoint 1: ML Foundations Review"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_010""]}",2026-05-11 16:53:01.93735+00,2026-05-11 19:41:18.380588+00
20260511_194224_mlf_011,mlf_011,Model selection and validation strategy,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260511_194224_mlf_011"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""mlf_011"",""artifacts"":{""answers"":""assessments/answers/20260511_194224_mlf_011_answers.json"",""assessment"":""runs/20260511_194224_mlf_011/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260511_194224_mlf_011/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260511_194224_mlf_011/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Model selection and validation strategy"",""next_action"":""await_user_answers"",""prerequisites"":[""checkpoint_ml_foundations_001""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-11 19:42:55.963401+00,2026-06-14 14:35:21.520592+00
20260513_020507_mlf_011,mlf_011,Model selection and validation strategy,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260513_020507_mlf_011"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""mlf_011"",""artifacts"":{""answers"":""assessments/answers/20260513_020507_mlf_011_answers.json"",""assessment"":""runs/20260513_020507_mlf_011/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260513_020507_mlf_011/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260513_020507_mlf_011/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Model selection and validation strategy"",""next_action"":""await_user_answers"",""prerequisites"":[""checkpoint_ml_foundations_001""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-13 02:05:52.228071+00,2026-06-14 14:35:21.520592+00
20260514_184340_mlf_011,mlf_011,Model selection and validation strategy,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260514_184340_mlf_011"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_011"",""artifacts"":{""answers"":""runs/20260514_184340_mlf_011/answers.json"",""rewards"":""runs/20260514_184340_mlf_011/rewards.json"",""assessment"":""runs/20260514_184340_mlf_011/assessment.json"",""evaluation"":""runs/20260514_184340_mlf_011/evaluation.json"",""concept_note"":""runs/20260514_184340_mlf_011/concept_note.json"",""refined_note"":""notes/refined/mlf_011_refined.md"",""architect_note"":""runs/20260514_184340_mlf_011/architect_note.json"",""answer_coaching"":""runs/20260514_184340_mlf_011/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Model selection and validation strategy"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""checkpoint_ml_foundations_001""]}",2026-05-14 18:44:44.351883+00,2026-05-14 19:18:37.706555+00
20260515_150213_mlf_012,mlf_012,Feature engineering and feature contracts,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260515_150213_mlf_012"",""scores"":{""communication"":2,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_012"",""artifacts"":{""answers"":""runs/20260515_150213_mlf_012/answers.json"",""rewards"":""runs/20260515_150213_mlf_012/rewards.json"",""assessment"":""runs/20260515_150213_mlf_012/assessment.json"",""evaluation"":""runs/20260515_150213_mlf_012/evaluation.json"",""concept_note"":""runs/20260515_150213_mlf_012/concept_note.json"",""refined_note"":""notes/refined/mlf_012_refined.md"",""architect_note"":""runs/20260515_150213_mlf_012/architect_note.json"",""answer_coaching"":""runs/20260515_150213_mlf_012/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Feature engineering and feature contracts"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_011""]}",2026-05-15 15:03:02.129143+00,2026-05-15 19:07:17.005838+00
20260516_143057_mlf_013,mlf_013,Encoding categorical variables safely,evaluation_complete,revise,"{""phase"":""evaluation_complete"",""run_id"":""20260516_143057_mlf_013"",""scores"":{""communication"":2,""conceptual_clarity"":2,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""revise"",""topic_id"":""mlf_013"",""artifacts"":{""answers"":""runs/20260516_143057_mlf_013/answers.json"",""rewards"":""runs/20260516_143057_mlf_013/rewards.json"",""assessment"":""runs/20260516_143057_mlf_013/assessment.json"",""evaluation"":""runs/20260516_143057_mlf_013/evaluation.json"",""concept_note"":""runs/20260516_143057_mlf_013/concept_note.json"",""refined_note"":""notes/refined/mlf_013_refined.md"",""architect_note"":""runs/20260516_143057_mlf_013/architect_note.json"",""answer_coaching"":""runs/20260516_143057_mlf_013/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Encoding categorical variables safely"",""next_action"":""retry_same_topic"",""prerequisites"":[""mlf_012""]}",2026-05-16 14:31:50.01418+00,2026-05-16 16:27:36.658654+00
20260516_171701_mlf_013,mlf_013,Encoding categorical variables safely,evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260516_171701_mlf_013"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_013"",""artifacts"":{""answers"":""runs/20260516_171701_mlf_013/answers.json"",""rewards"":""runs/20260516_171701_mlf_013/rewards.json"",""assessment"":""runs/20260516_171701_mlf_013/assessment.json"",""evaluation"":""runs/20260516_171701_mlf_013/evaluation.json"",""concept_note"":""runs/20260516_171701_mlf_013/concept_note.json"",""refined_note"":""notes/refined/mlf_013_refined.md"",""architect_note"":""runs/20260516_171701_mlf_013/architect_note.json"",""answer_coaching"":""runs/20260516_171701_mlf_013/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Encoding categorical variables safely"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_012""]}",2026-05-16 17:18:24.458227+00,2026-05-16 19:25:28.212855+00
20260517_104526_mlf_014,mlf_014,"Scaling, normalization, and pipeline leakage",evaluation_complete,completed,"{""phase"":""evaluation_complete"",""run_id"":""20260517_104526_mlf_014"",""scores"":{""communication"":3,""conceptual_clarity"":2,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""topic_id"":""mlf_014"",""artifacts"":{""answers"":""runs/20260517_104526_mlf_014/answers.json"",""rewards"":""runs/20260517_104526_mlf_014/rewards.json"",""assessment"":""runs/20260517_104526_mlf_014/assessment.json"",""evaluation"":""runs/20260517_104526_mlf_014/evaluation.json"",""concept_note"":""runs/20260517_104526_mlf_014/concept_note.json"",""refined_note"":""notes/refined/mlf_014_refined.md"",""architect_note"":""runs/20260517_104526_mlf_014/architect_note.json"",""answer_coaching"":""runs/20260517_104526_mlf_014/answer_coaching.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Scaling, normalization, and pipeline leakage"",""next_action"":""reinforce_and_continue"",""prerequisites"":[""mlf_013""]}",2026-05-17 10:46:33.026322+00,2026-05-17 17:11:59.713231+00
20260517_173308_mlf_015,mlf_015,Regularization: controlling model complexity,superseded,superseded,"{""phase"":""superseded"",""run_id"":""20260517_173308_mlf_015"",""scores"":{""communication"":null,""conceptual_clarity"":null,""architect_reasoning"":null,""practical_reasoning"":null},""status"":""superseded"",""topic_id"":""mlf_015"",""artifacts"":{""answers"":""assessments/answers/20260517_173308_mlf_015_answers.json"",""assessment"":""runs/20260517_173308_mlf_015/assessment.json"",""evaluation"":null,""concept_note"":""runs/20260517_173308_mlf_015/concept_note.json"",""refined_note"":null,""architect_note"":""runs/20260517_173308_mlf_015/architect_note.json"",""practice_result"":null,""practice_coaching"":null,""practice_exercise"":null,""practice_submission"":null},""topic_name"":""Regularization: controlling model complexity"",""next_action"":""await_user_answers"",""prerequisites"":[""mlf_014""],""superseded_at"":""2026-06-14T14:35:21.520592+00:00"",""superseded_reason"":""v2_1_cleanup_stale_in_progress_after_latest_redo""}",2026-05-17 17:33:08.130469+00,2026-06-14 14:35:21.520592+00
