id,run_id,topic_id,event_type,payload,created_at
11,20260508_170156_mlf_006,mlf_006,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-08 17:03:02.592564+00
12,20260508_170156_mlf_006,mlf_006,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260508_170156_mlf_006"",""decision"":""borderline"",""topic_id"":""mlf_006"",""total_xp"":372,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Overfitting vs underfitting"",""badge_labels"":""Level Clear: mlf_006, Three-Star Scholar, Clear Streak x3"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_006"",""label"":""Level Clear: mlf_006"",""description"":""Completed Overfitting vs underfitting.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":4,""current_completion_streak"":4},""unlocked_topics"":[""mlf_007""]}",2026-05-08 17:35:23.687029+00
13,20260508_175037_mlf_007,mlf_007,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-08 17:51:26.617265+00
14,20260509_105718_mlf_007,mlf_007,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-09 10:58:24.905229+00
15,20260509_105718_mlf_007,mlf_007,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260509_105718_mlf_007"",""decision"":""borderline"",""topic_id"":""mlf_007"",""total_xp"":412,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Data leakage"",""badge_labels"":""Level Clear: mlf_007, Three-Star Scholar, Clear Streak x3"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_007"",""label"":""Level Clear: mlf_007"",""description"":""Completed Data leakage.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":5,""current_completion_streak"":5},""unlocked_topics"":[""mlf_008""],""practice_summary"":{}}",2026-05-09 12:42:32.466229+00
16,20260509_124418_mlf_008,mlf_008,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-09 12:44:58.975129+00
17,20260509_124418_mlf_008,mlf_008,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260509_124418_mlf_008"",""decision"":""borderline"",""topic_id"":""mlf_008"",""total_xp"":452,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Bias vs variance"",""badge_labels"":""Level Clear: mlf_008, Three-Star Scholar, Clear Streak x3"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_008"",""label"":""Level Clear: mlf_008"",""description"":""Completed Bias vs variance.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":6,""current_completion_streak"":6},""unlocked_topics"":[""mlf_009""],""practice_summary"":{}}",2026-05-09 14:32:42.963926+00
18,20260509_150436_mlf_009,mlf_009,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-09 15:05:10.416732+00
19,20260510_081818_mlf_009,mlf_009,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-10 08:19:13.635266+00
20,20260510_081818_mlf_009,mlf_009,draft_verified,"{""weak_count"":1,""partial_count"":3,""likely_average"":3,""recommendation"":""Do not submit yet. Fix the weak drafts first.""}",2026-05-10 09:38:24.306633+00
21,20260510_081818_mlf_009,mlf_009,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260510_081818_mlf_009"",""decision"":""borderline"",""topic_id"":""mlf_009"",""total_xp"":487,""completed"":true,""xp_earned"":35,""best_stars"":2,""topic_title"":""Why accuracy can lie"",""badge_labels"":""Level Clear: mlf_009, Clear Streak x3"",""stars_earned"":2,""badges_awarded"":[{""id"":""level_clear_mlf_009"",""label"":""Level Clear: mlf_009"",""description"":""Completed Why accuracy can lie.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":7,""current_completion_streak"":7},""unlocked_topics"":[""mlf_010""],""practice_summary"":{""passed"":true,""total_tests"":4,""hidden_total"":2,""total_passed"":4,""hidden_passed"":2,""visible_total"":2,""visible_passed"":2}}",2026-05-10 09:40:14.818332+00
22,20260510_124047_mlf_010,mlf_010,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-10 12:41:47.535862+00
23,20260510_124047_mlf_010,mlf_010,draft_verified,"{""weak_count"":0,""partial_count"":0,""likely_average"":4,""recommendation"":""This is ready for final evaluation.""}",2026-05-10 16:37:53.442021+00
24,20260510_124047_mlf_010,mlf_010,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":2,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260510_124047_mlf_010"",""decision"":""borderline"",""topic_id"":""mlf_010"",""total_xp"":522,""completed"":true,""xp_earned"":35,""best_stars"":2,""topic_title"":""Precision vs recall"",""badge_labels"":""Level Clear: mlf_010, Clear Streak x3"",""stars_earned"":2,""badges_awarded"":[{""id"":""level_clear_mlf_010"",""label"":""Level Clear: mlf_010"",""description"":""Completed Precision vs recall.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":8,""current_completion_streak"":8},""unlocked_topics"":[],""practice_summary"":{}}",2026-05-10 16:38:21.173324+00
25,20260510_182455_mlf_001,mlf_001,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-10 18:25:32.00909+00
26,20260510_182455_mlf_001,mlf_001,manual_stale_run_abandoned,"{""reason"":""Patch 007 accidentally restarted completed mlf_001 after mlf_010. Marked abandoned so checkpoint can start.""}",2026-05-10 18:49:34.737204+00
27,20260510_182455_mlf_001,mlf_001,manual_stale_run_abandoned,"{""reason"":""Patch 007 accidentally restarted completed mlf_001 after mlf_010. Marked abandoned so checkpoint can start.""}",2026-05-10 18:51:19.657712+00
28,20260510_182455_mlf_001,mlf_001,stale_active_run_auto_abandoned,"{""reason"":""Active local run topic is already completed in durable progress."",""source"":""src.start_lesson""}",2026-05-10 18:56:55.279973+00
29,20260510_185656_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-10 18:56:58.015764+00
30,20260511_165301_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-11 16:53:03.697223+00
31,20260511_165301_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,draft_verified,"{""weak_count"":0,""partial_count"":3,""likely_average"":3.4,""recommendation"":""Not 4-star ready yet. Improve the partial drafts before final submission."",""four_star_ready"":false,""readiness_average"":3.4}",2026-05-11 19:39:39.83903+00
32,20260511_165301_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,evaluation_complete,"{""scores"":{""communication"":2,""conceptual_clarity"":2,""architect_reasoning"":2,""practical_reasoning"":3},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260511_165301_checkpoint_ml_foundations_001"",""decision"":""borderline"",""topic_id"":""checkpoint_ml_foundations_001"",""total_xp"":557,""completed"":true,""xp_earned"":35,""best_stars"":2,""topic_title"":""Checkpoint 1: ML Foundations Review"",""badge_labels"":""Level Clear: checkpoint_ml_foundations_001, Clear Streak x3"",""stars_earned"":2,""badges_awarded"":[{""id"":""level_clear_checkpoint_ml_foundations_001"",""label"":""Level Clear: checkpoint_ml_foundations_001"",""description"":""Completed Checkpoint 1: ML Foundations Review.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":9,""current_completion_streak"":9},""unlocked_topics"":[""mlf_011""],""practice_summary"":{""passed"":true,""total_tests"":4,""hidden_total"":2,""total_passed"":4,""hidden_passed"":2,""visible_total"":2,""visible_passed"":2}}",2026-05-11 19:41:20.109354+00
33,20260511_194224_mlf_011,mlf_011,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-11 19:42:57.156357+00
34,20260513_020507_mlf_011,mlf_011,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-13 02:05:53.382809+00
35,20260514_184340_mlf_011,mlf_011,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-14 18:44:45.568331+00
36,20260514_184340_mlf_011,mlf_011,draft_verified,"{""weak_count"":1,""partial_count"":2,""likely_average"":3.2,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3.2}",2026-05-14 19:10:30.188744+00
37,20260514_184340_mlf_011,mlf_011,draft_verified,"{""weak_count"":1,""partial_count"":2,""likely_average"":3.2,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3.2}",2026-05-14 19:16:46.386197+00
38,20260514_184340_mlf_011,mlf_011,draft_verified,"{""weak_count"":1,""partial_count"":2,""likely_average"":3.2,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3.2}",2026-05-14 19:18:07.995815+00
39,20260514_184340_mlf_011,mlf_011,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260514_184340_mlf_011"",""decision"":""borderline"",""topic_id"":""mlf_011"",""total_xp"":597,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Model selection and validation strategy"",""badge_labels"":""Level Clear: mlf_011, Three-Star Scholar, Clear Streak x3"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_011"",""label"":""Level Clear: mlf_011"",""description"":""Completed Model selection and validation strategy.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":10,""current_completion_streak"":10},""unlocked_topics"":[""mlf_012""],""practice_summary"":{}}",2026-05-14 19:18:38.838525+00
40,20260515_150213_mlf_012,mlf_012,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-15 15:03:03.373486+00
41,20260515_150213_mlf_012,mlf_012,draft_verified,"{""weak_count"":0,""partial_count"":2,""likely_average"":3.6,""recommendation"":""Not 4-star ready yet. Improve the partial drafts before final submission."",""four_star_ready"":false,""readiness_average"":3.6}",2026-05-15 19:06:38.093126+00
42,20260515_150213_mlf_012,mlf_012,evaluation_complete,"{""scores"":{""communication"":2,""conceptual_clarity"":3,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260515_150213_mlf_012"",""decision"":""borderline"",""topic_id"":""mlf_012"",""total_xp"":632,""completed"":true,""xp_earned"":35,""best_stars"":2,""topic_title"":""Feature engineering and feature contracts"",""badge_labels"":""Level Clear: mlf_012, Clear Streak x3"",""stars_earned"":2,""badges_awarded"":[{""id"":""level_clear_mlf_012"",""label"":""Level Clear: mlf_012"",""description"":""Completed Feature engineering and feature contracts.""},{""id"":""clear_streak_3"",""label"":""Clear Streak x3"",""description"":""Completed 3 lessons in a row.""}],""best_completion_streak"":11,""current_completion_streak"":11},""unlocked_topics"":[""mlf_013""],""practice_summary"":{}}",2026-05-15 19:07:18.167742+00
43,20260516_143057_mlf_013,mlf_013,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-16 14:31:51.295704+00
44,20260516_143057_mlf_013,mlf_013,draft_verified,"{""weak_count"":1,""partial_count"":2,""likely_average"":3.2,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3.2}",2026-05-16 16:26:43.094815+00
45,20260516_143057_mlf_013,mlf_013,evaluation_complete,"{""scores"":{""communication"":2,""conceptual_clarity"":2,""architect_reasoning"":2,""practical_reasoning"":2},""status"":""revise"",""decision"":""revise"",""reward_summary"":{""run_id"":""20260516_143057_mlf_013"",""decision"":""revise"",""topic_id"":""mlf_013"",""total_xp"":646,""completed"":false,""xp_earned"":14,""best_stars"":2,""topic_title"":""Encoding categorical variables safely"",""badge_labels"":"""",""stars_earned"":2,""badges_awarded"":[],""best_completion_streak"":11,""current_completion_streak"":0},""unlocked_topics"":[],""practice_summary"":{}}",2026-05-16 16:27:37.834082+00
46,20260516_171701_mlf_013,mlf_013,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-16 17:18:25.619409+00
47,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":1}",2026-05-16 18:42:02.179902+00
48,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":2}",2026-05-16 18:50:33.530623+00
49,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":3}",2026-05-16 18:56:07.68355+00
50,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":4}",2026-05-16 19:08:46.175698+00
51,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:15:14.766097+00
52,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:21:21.366834+00
53,20260516_171701_mlf_013,mlf_013,mission_answers_saved_before_verify,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:21:28.472521+00
54,20260516_171701_mlf_013,mlf_013,draft_verified,"{""weak_count"":2,""partial_count"":1,""likely_average"":3,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3}",2026-05-16 19:21:28.867157+00
55,20260516_171701_mlf_013,mlf_013,mission_answers_saved,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:24:52.507354+00
56,20260516_171701_mlf_013,mlf_013,mission_answers_saved_before_verify,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:24:58.079303+00
57,20260516_171701_mlf_013,mlf_013,draft_verified,"{""weak_count"":2,""partial_count"":1,""likely_average"":3,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3}",2026-05-16 19:24:58.479335+00
58,20260516_171701_mlf_013,mlf_013,mission_answers_saved_before_final_evaluation,"{""total_count"":5,""answered_count"":5}",2026-05-16 19:25:13.769829+00
59,20260516_171701_mlf_013,mlf_013,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260516_171701_mlf_013"",""decision"":""borderline"",""topic_id"":""mlf_013"",""total_xp"":686,""completed"":true,""xp_earned"":40,""best_stars"":3,""topic_title"":""Encoding categorical variables safely"",""badge_labels"":""Level Clear: mlf_013, Three-Star Scholar"",""stars_earned"":3,""badges_awarded"":[{""id"":""level_clear_mlf_013"",""label"":""Level Clear: mlf_013"",""description"":""Completed Encoding categorical variables safely.""},{""id"":""three_star_scholar"",""label"":""Three-Star Scholar"",""description"":""Earned at least 3 stars on a level.""}],""best_completion_streak"":11,""current_completion_streak"":1},""unlocked_topics"":[""mlf_014""],""practice_summary"":{}}",2026-05-16 19:25:29.349919+00
60,20260517_104526_mlf_014,mlf_014,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-17 10:46:34.251888+00
61,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:22:11.484273+00
62,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:23:40.77735+00
63,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:34:16.75558+00
64,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:42:00.203972+00
65,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:57:11.967051+00
66,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 16:59:27.491719+00
67,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 17:08:06.457505+00
68,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 17:08:27.578218+00
69,20260517_104526_mlf_014,mlf_014,draft_verified,"{""weak_count"":2,""partial_count"":1,""likely_average"":3,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3}",2026-05-17 17:08:27.975644+00
70,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 17:10:32.373888+00
71,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 17:10:36.610874+00
72,20260517_104526_mlf_014,mlf_014,draft_verified,"{""weak_count"":2,""partial_count"":1,""likely_average"":3,""recommendation"":""Do not submit yet. Fix the weak drafts first."",""four_star_ready"":false,""readiness_average"":3}",2026-05-17 17:10:37.007002+00
73,20260517_104526_mlf_014,mlf_014,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-17 17:11:34.523446+00
74,20260517_104526_mlf_014,mlf_014,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":2,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260517_104526_mlf_014"",""scores"":{""communication"":3,""conceptual_clarity"":2,""architect_reasoning"":3,""practical_reasoning"":2},""decision"":""borderline"",""topic_id"":""mlf_014"",""total_xp"":575,""completed"":true,""xp_earned"":35,""xp_policy"":""best_completed_attempt_per_topic"",""best_stars"":2,""topic_title"":""Scaling, normalization, and pipeline leakage"",""badge_labels"":"""",""stars_earned"":2,""badges_awarded"":[],""policy_version"":""v2_best_completed_attempt_2026_05"",""best_completed_xp"":35,""base_xp_for_attempt"":35,""best_completion_streak"":11,""current_completion_streak"":2},""unlocked_topics"":[""mlf_015""],""practice_summary"":{}}",2026-05-17 17:12:00.909753+00
75,20260517_173308_mlf_015,mlf_015,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-17 17:33:09.304178+00
76,20260518_150133_mlf_015,mlf_015,lesson_started,"{""phase"":""awaiting_user_answers"",""status"":""in_progress"",""selection_mode"":""next_unlocked""}",2026-05-18 15:01:34.67463+00
77,20260518_150133_mlf_015,mlf_015,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-18 16:49:48.395544+00
78,20260518_150133_mlf_015,mlf_015,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-18 17:06:00.208557+00
79,20260518_150133_mlf_015,mlf_015,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-18 17:10:12.589187+00
80,20260518_150133_mlf_015,mlf_015,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-18 17:10:43.373511+00
81,20260518_150133_mlf_015,mlf_015,draft_verified,"{""weak_count"":0,""partial_count"":3,""likely_average"":3.4,""recommendation"":""Not 4-star ready yet. Improve the partial drafts before final submission."",""four_star_ready"":false,""readiness_average"":3.4}",2026-05-18 17:10:43.782827+00
82,20260518_150133_mlf_015,mlf_015,answers_saved,"{""source"":""mission_tab_save"",""answer_count"":5}",2026-05-18 17:11:22.395889+00
83,20260518_150133_mlf_015,mlf_015,evaluation_complete,"{""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""status"":""completed"",""decision"":""borderline"",""reward_summary"":{""run_id"":""20260518_150133_mlf_015"",""scores"":{""communication"":3,""conceptual_clarity"":3,""architect_reasoning"":3,""practical_reasoning"":2},""decision"":""borderline"",""topic_id"":""mlf_015"",""total_xp"":615,""completed"":true,""xp_earned"":40,""xp_policy"":""best_completed_attempt_per_topic"",""best_stars"":3,""topic_title"":""Regularization: controlling model complexity"",""badge_labels"":"""",""stars_earned"":3,""badges_awarded"":[],""policy_version"":""v2_best_completed_attempt_2026_05"",""best_completed_xp"":40,""base_xp_for_attempt"":40,""best_completion_streak"":11,""current_completion_streak"":3},""unlocked_topics"":[""mlf_016""],""practice_summary"":{}}",2026-05-18 17:11:52.078864+00
