topic_id,title,domain,module_id,sequence_no,item_type,difficulty,prerequisites,unlock_after,architect_relevance,tags,is_active,created_at,updated_at
mlf_010,Precision vs recall,evaluation_and_metrics,module_001_ml_foundations,110,lesson,2,"[""mlf_009""]",mlf_009,"[""threshold_design"",""cost_of_errors"",""stakeholder_tradeoffs""]","[""precision"",""recall"",""false_positives"",""false_negatives""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_011,Model selection and validation strategy,advanced_machine_learning,module_002_advanced_ml,112,lesson,3,"[""checkpoint_ml_foundations_001""]",checkpoint_ml_foundations_001,"[""model_selection"",""validation_design"",""offline_to_online_risk""]","[""validation"",""cross_validation"",""holdout"",""model_selection""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_012,Feature engineering and feature contracts,advanced_machine_learning,module_002_advanced_ml,113,lesson,3,"[""mlf_011""]",mlf_011,"[""feature_design"",""data_contracts"",""pipeline_reliability""]","[""feature_engineering"",""feature_store"",""data_contracts"",""schema""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_013,Encoding categorical variables safely,advanced_machine_learning,module_002_advanced_ml,114,lesson,3,"[""mlf_012""]",mlf_012,"[""categorical_encoding"",""production_schema_drift"",""unseen_categories""]","[""one_hot_encoding"",""target_encoding"",""categorical_features"",""unseen_categories""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_014,"Scaling, normalization, and pipeline leakage",advanced_machine_learning,module_002_advanced_ml,115,lesson,3,"[""mlf_013""]",mlf_013,"[""preprocessing_pipeline"",""leakage_control"",""training_serving_consistency""]","[""scaling"",""normalization"",""standardization"",""pipeline_leakage""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_015,Regularization: controlling model complexity,advanced_machine_learning,module_002_advanced_ml,116,lesson,3,"[""mlf_014""]",mlf_014,"[""capacity_control"",""overfitting_control"",""model_robustness""]","[""regularization"",""l1"",""l2"",""complexity"",""generalization""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_016,Threshold tuning and cost-sensitive decisions,advanced_machine_learning,module_002_advanced_ml,117,lesson,3,"[""mlf_015""]",mlf_015,"[""threshold_design"",""cost_of_errors"",""business_decision_alignment""]","[""threshold"",""precision_recall_tradeoff"",""cost_sensitive"",""classification""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_017,Class imbalance handling strategies,advanced_machine_learning,module_002_advanced_ml,118,lesson,3,"[""mlf_016""]",mlf_016,"[""imbalanced_learning"",""sampling_strategy"",""minority_class_reliability""]","[""class_imbalance"",""resampling"",""class_weights"",""rare_events""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_018,Error analysis and model debugging,advanced_machine_learning,module_002_advanced_ml,119,lesson,3,"[""mlf_017""]",mlf_017,"[""error_slicing"",""debugging_workflow"",""failure_taxonomy""]","[""error_analysis"",""model_debugging"",""slices"",""failure_modes""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_019,Model interpretability and explainability limits,advanced_machine_learning,module_002_advanced_ml,120,lesson,3,"[""mlf_018""]",mlf_018,"[""explainability"",""governance"",""stakeholder_trust"",""model_risk""]","[""interpretability"",""explainability"",""shap"",""feature_importance""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_020,"ML monitoring: drift, performance, and retraining triggers",advanced_machine_learning,module_002_advanced_ml,121,lesson,3,"[""mlf_019""]",mlf_019,"[""monitoring_architecture"",""drift_detection"",""retraining_policy"",""production_governance""]","[""monitoring"",""data_drift"",""concept_drift"",""retraining"",""model_ops""]",true,2026-05-10 14:37:11.672523+00,2026-06-28 13:32:58.522799+00
mlf_021,"Validation under time, group, and leakage constraints",ml_architect_completion,module_003_ml_architect_completion,122,lesson,4,"[""mlf_020""]",mlf_020,"[""validation_architecture"",""temporal_validation"",""group_leakage_control"",""approval_evidence""]","[""cross_validation"",""time_split"",""group_split"",""leakage"",""validation""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
mlf_022,Hyperparameter tuning without fooling yourself,ml_architect_completion,module_003_ml_architect_completion,123,lesson,4,"[""mlf_021""]",mlf_021,"[""experiment_governance"",""model_selection"",""locked_test_evidence"",""cost_control""]","[""hyperparameter_tuning"",""search_budget"",""nested_validation"",""experiment_tracking""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
mlf_023,"ROC, PR curves, and operating points",ml_architect_completion,module_003_ml_architect_completion,124,lesson,4,"[""mlf_022""]",mlf_022,"[""operating_point_policy"",""threshold_governance"",""rare_event_decisions"",""alert_capacity""]","[""roc"",""precision_recall_curve"",""pr_auc"",""threshold"",""operating_point""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
mlf_024,Probability calibration and confidence,ml_architect_completion,module_003_ml_architect_completion,125,lesson,4,"[""mlf_023""]",mlf_023,"[""risk_scoring"",""calibration_assurance"",""decision_confidence"",""monitoring""]","[""calibration"",""brier_score"",""reliability_curve"",""confidence"",""risk_score""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
mlf_025,"Data quality, label quality, and sampling bias",ml_architect_completion,module_003_ml_architect_completion,126,lesson,4,"[""mlf_024""]",mlf_024,"[""data_governance"",""label_quality"",""sampling_bias"",""release_gate""]","[""data_quality"",""label_quality"",""sampling_bias"",""proxy_labels"",""coverage""]",true,2026-05-22 13:02:54.169349+00,2026-06-28 13:32:58.522799+00
rag_001,RAG: retrieval before generation,rag_systems,module_002_rag_layer,12,lesson,3,"[""genai_001""]",genai_001,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""rag_systems"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
trf_001,Transformer intuition: attention without the hype,transformers,module_004_transformer_layer,14,lesson,4,"[""llm_001""]",llm_001,"[""ai_architecture"",""system_design"",""evaluation"",""governance""]","[""onion_path"",""transformers"",""architect_fluency""]",true,2026-06-28 13:32:58.522799+00,2026-06-29 06:46:50.349858+00
