resource_id,topic_id,resource_type,title,provider,url,purpose,estimated_minutes,is_primary,is_optional,sequence_order,last_verified_at,is_active,created_at,updated_at
res_mlf024_sklearn_curve,mlf_024,notebook,Probability Calibration Curves example,scikit-learn,https://scikit-learn.org/stable/auto_examples/calibration/plot_calibration_curve.html,Executable-style example connecting probability predictions to observed outcome rates.,15,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf025_cleanlab,mlf_025,open_source_tool,cleanlab documentation,cleanlab,https://docs.cleanlab.ai/,Optional open-source reference for detecting label and broader dataset issues.,20,false,true,2,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_mlf025_google_data,mlf_025,course,"Datasets, generalization, and overfitting",Google Machine Learning Crash Course,https://developers.google.com/machine-learning/crash-course,"Free course anchor for thinking about data quality, sampling and trustworthy evaluation.",20,true,true,1,2026-05-27 18:21:28.006161+00,true,2026-05-27 18:21:28.006161+00,2026-05-27 18:21:28.006161+00
res_v2_3blue1brown_nn_dl_001,dl_001,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_002,dl_002,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_003,dl_003,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_004,dl_004,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_005,dl_005,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_006,dl_006,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_007,dl_007,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_008,dl_008,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_009,dl_009,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_3blue1brown_nn_dl_010,dl_010,video,Neural networks visual introduction,3Blue1Brown,https://www.3blue1brown.com/topics/neural-networks,Optional visual intuition for neural networks.,30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_001,dl_001,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_002,dl_002,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_003,dl_003,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_004,dl_004,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_005,dl_005,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_006,dl_006,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_007,dl_007,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_008,dl_008,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_009,dl_009,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_fastai_intro_dl_010,dl_010,course,Practical Deep Learning for Coders,fast.ai,https://course.fast.ai/,Optional practical deep-learning course after capstone unlock.,45,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_capstone_ml_architect_001,capstone_ml_architect_001,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_checkpoint_ml_architect_001,checkpoint_ml_architect_001,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_001,mlf_001,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_002,mlf_002,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_003,mlf_003,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_004,mlf_004,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_005,mlf_005,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_006,mlf_006,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_007,mlf_007,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_008,mlf_008,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_009,mlf_009,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_010,mlf_010,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_011,mlf_011,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_012,mlf_012,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_013,mlf_013,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_014,mlf_014,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_015,mlf_015,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_016,mlf_016,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_017,mlf_017,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_018,mlf_018,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_019,mlf_019,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_020,mlf_020,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_021,mlf_021,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_022,mlf_022,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_023,mlf_023,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_024,mlf_024,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_google_mlcc_mlf_025,mlf_025,course,Machine Learning Crash Course,Google for Developers,https://developers.google.com/machine-learning/crash-course,Optional intuition-first reinforcement for ML fundamentals.,20,true,true,11,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_capstone_ml_architect_001,capstone_ml_architect_001,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_checkpoint_ml_architect_001,checkpoint_ml_architect_001,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_checkpoint_ml_foundations_001,checkpoint_ml_foundations_001,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_001,mlf_001,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_002,mlf_002,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_003,mlf_003,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_004,mlf_004,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_005,mlf_005,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_006,mlf_006,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_007,mlf_007,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_008,mlf_008,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_009,mlf_009,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_010,mlf_010,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_011,mlf_011,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_012,mlf_012,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_013,mlf_013,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_014,mlf_014,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_015,mlf_015,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_016,mlf_016,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
res_v2_sklearn_mooc_mlf_017,mlf_017,course,Machine learning in Python with scikit-learn,INRIA / scikit-learn MOOC,https://inria.github.io/scikit-learn-mooc/,"Optional practical reinforcement for validation, metrics and model selection.",30,false,true,12,2026-06-14 14:15:57.24447+00,true,2026-06-14 14:15:57.24447+00,2026-06-14 14:21:07.280036+00
